,cod_com,cod_prov,cod_reg,den_com,den_prov,den_reg,pop,sigla,std,median
186,1191,1,1,Pinerolo,Torino,Piemonte,35695,TO,0.10357438472291908,0.827134758234024
187,1192,1,1,Pino Torinese,Torino,Piemonte,8413,TO,0.08943186380646055,0.736925333738327
188,1193,1,1,Piobesi Torinese,Torino,Piemonte,3880,TO,0.01631771420161945,0.8066571950912476
189,1194,1,1,Piossasco,Torino,Piemonte,18167,TO,0.10736294146256753,0.7685730457305908
190,1195,1,1,Piscina,Torino,Piemonte,3364,TO,0.010488246205759558,0.8304637968540192
191,1196,1,1,Piverone,Torino,Piemonte,1365,TO,0.07492700317461823,0.7255802154541016
192,1197,1,1,Poirino,Torino,Piemonte,10153,TO,0.04045725876546064,0.7979727685451508
193,1198,1,1,Pomaretto,Torino,Piemonte,993,TO,0.06640151790229416,0.4326478838920593
194,1199,1,1,Pont Canavese,Torino,Piemonte,3210,TO,0.09671853652000642,0.5400033593177795
195,1200,1,1,Porte,Torino,Piemonte,1052,TO,0.045784759019845814,0.5338553786277771
196,1201,1,1,Pragelato,Torino,Piemonte,751,TO,0.09251615369042558,0.2971463054418564
197,1202,1,1,Prali,Torino,Piemonte,252,TO,0.06130063985360588,0.22264773398637772
198,1203,1,1,Pralormo,Torino,Piemonte,1892,TO,0.05440899633852128,0.766290545463562
199,1204,1,1,Pramollo,Torino,Piemonte,219,TO,0.06229878657529902,0.27778320014476776
200,1205,1,1,Prarostino,Torino,Piemonte,1265,TO,0.07841785178746354,0.5173403322696686
201,1206,1,1,Prascorsano,Torino,Piemonte,733,TO,0.0361637502811754,0.5586338043212891
202,1207,1,1,Pratiglione,Torino,Piemonte,480,TO,0.08096469889331899,0.4058891236782074
203,1208,1,1,Quagliuzzo,Torino,Piemonte,329,TO,0.01633337140083313,0.6000296771526337
204,1209,1,1,Quassolo,Torino,Piemonte,355,TO,0.09833881566258812,0.527411937713623
205,1210,1,1,Quincinetto,Torino,Piemonte,1034,TO,0.08834407180818754,0.4093392789363861
206,1211,1,1,Reano,Torino,Piemonte,1750,TO,0.043646714838379945,0.6271659135818481
207,1212,1,1,Ribordone,Torino,Piemonte,49,TO,0.0449010728511047,0.25974340736866
208,1213,1,1,Rivalba,Torino,Piemonte,1156,TO,0.07742397088272725,0.6418782770633698
209,1214,1,1,Rivalta di Torino,Torino,Piemonte,19978,TO,0.055897061854909204,0.826589047908783
210,1215,1,1,Riva presso Chieri,Torino,Piemonte,4762,TO,0.016061449400465954,0.8086581826210022
211,1216,1,1,Rivara,Torino,Piemonte,2519,TO,0.055864071868833354,0.6928111910820007
212,1217,1,1,Rivarolo Canavese,Torino,Piemonte,12501,TO,0.04121585737222039,0.8150542378425598
213,1218,1,1,Rivarossa,Torino,Piemonte,1571,TO,0.03865070874948321,0.6800836324691772
214,1219,1,1,Rivoli,Torino,Piemonte,47597,TO,0.053963853350185595,0.8476215600967407
215,1220,1,1,Robassomero,Torino,Piemonte,3056,TO,0.06499959809976513,0.7508933544158936
216,1221,1,1,Rocca Canavese,Torino,Piemonte,1700,TO,0.06161100184970658,0.558164119720459
217,1222,1,1,Roletto,Torino,Piemonte,2010,TO,0.11086977450870533,0.6672512888908386
218,1223,1,1,Romano Canavese,Torino,Piemonte,2657,TO,0.019437601239460953,0.7871552109718323
219,1224,1,1,Ronco Canavese,Torino,Piemonte,297,TO,0.07366243872288568,0.15936070680618286
220,1225,1,1,Rondissone,Torino,Piemonte,1859,TO,0.026749010962779457,0.8109180927276611
221,1226,1,1,Rorà,Torino,Piemonte,231,TO,0.05497473111004743,0.387267529964447
222,1227,1,1,Roure,Torino,Piemonte,793,TO,0.07407445609204619,0.2828472852706909
223,1228,1,1,Rosta,Torino,Piemonte,4925,TO,0.07318327731943339,0.7726275324821472
224,1229,1,1,Rubiana,Torino,Piemonte,2368,TO,0.0569089122426399,0.41673122346401215
225,1230,1,1,Rueglio,Torino,Piemonte,784,TO,0.1178334819238706,0.5210579633712769
226,1231,1,1,Salassa,Torino,Piemonte,1843,TO,0.06665616298057175,0.8067523837089539
227,1232,1,1,Salbertrand,Torino,Piemonte,625,TO,0.07410885728038961,0.3620375394821167
228,1233,1,1,Salerano Canavese,Torino,Piemonte,468,TO,0.02442819029422467,0.7774940133094788
229,1234,1,1,Salza di Pinerolo,Torino,Piemonte,75,TO,0.07284510568646752,0.11435151472687721
230,1235,1,1,Samone,Torino,Piemonte,1539,TO,0.03199075654573831,0.8007250428199768
231,1236,1,1,San Benigno Canavese,Torino,Piemonte,6000,TO,0.05939258391326319,0.7989271283149719
232,1237,1,1,San Carlo Canavese,Torino,Piemonte,4009,TO,0.07679190278865472,0.7670220136642456
233,1238,1,1,San Colombano Belmonte,Torino,Piemonte,339,TO,0.10605841269625348,0.4927571564912796
234,1239,1,1,San Didero,Torino,Piemonte,528,TO,0.06296479848026074,0.632274329662323
235,1240,1,1,San Francesco al Campo,Torino,Piemonte,4834,TO,0.027116092632204998,0.7984977960586548
236,1241,1,1,Sangano,Torino,Piemonte,3746,TO,0.10351573215451607,0.6782884001731873
237,1242,1,1,San Germano Chisone,Torino,Piemonte,1750,TO,0.05452393281321443,0.4772825241088867
238,1243,1,1,San Gillio,Torino,Piemonte,3101,TO,0.02345889791922891,0.824146956205368
239,1244,1,1,San Giorgio Canavese,Torino,Piemonte,2556,TO,0.055961976805459016,0.7933138012886047
240,1245,1,1,San Giorio di Susa,Torino,Piemonte,978,TO,0.08319162671239398,0.3692953586578369
241,1246,1,1,San Giusto Canavese,Torino,Piemonte,3299,TO,0.06222481109657751,0.7872675061225891
242,1247,1,1,San Martino Canavese,Torino,Piemonte,805,TO,0.08099954458308847,0.6277880668640137
243,1248,1,1,San Maurizio Canavese,Torino,Piemonte,10279,TO,0.035616977904720196,0.7994318008422852
244,1249,1,1,San Mauro Torinese,Torino,Piemonte,18647,TO,0.1051119628130316,0.7044817805290222
245,1250,1,1,San Pietro Val Lemina,Torino,Piemonte,1423,TO,0.10222975302753418,0.453636109828949
246,1251,1,1,San Ponso,Torino,Piemonte,263,TO,0.002627164125442505,0.8274194896221161
247,1252,1,1,San Raffaele Cimena,Torino,Piemonte,3098,TO,0.07554946643614947,0.6851321458816528
248,1253,1,1,San Sebastiano da Po,Torino,Piemonte,1893,TO,0.06837558000194817,0.6990136504173279
249,1254,1,1,San Secondo di Pinerolo,Torino,Piemonte,3677,TO,0.10732704508923588,0.7930720448493958
250,1255,1,1,Sant'Ambrogio di Torino,Torino,Piemonte,4684,TO,0.12111370943922928,0.7328490018844604
251,1256,1,1,Sant'Antonino di Susa,Torino,Piemonte,4169,TO,0.11061994251358859,0.4663122445344925
252,1257,1,1,Santena,Torino,Piemonte,10637,TO,0.027689073332503155,0.8073447942733765
253,1258,1,1,Sauze di Cesana,Torino,Piemonte,241,TO,0.08787251050270459,0.12923844158649445
254,1259,1,1,Sauze d'Oulx,Torino,Piemonte,1082,TO,0.03276171677433018,0.3819814473390579
255,1260,1,1,Scalenghe,Torino,Piemonte,3263,TO,0.021794599155761606,0.7936200499534607
256,1261,1,1,Scarmagno,Torino,Piemonte,826,TO,0.06567540992789934,0.7000318467617035
257,1262,1,1,Sciolze,Torino,Piemonte,1453,TO,0.07976549487100876,0.6585007011890411
