,cod_com,cod_prov,cod_reg,den_com,den_prov,den_reg,pop,sigla,mean,std,median
1220,8007,8,7,Bajardo,Imperia,Liguria,335,IM,0.4537777781486511,0.20298008473457335,0.4000000059604645
1221,8008,8,7,Bordighera,Imperia,Liguria,10154,IM,10.981249962250391,8.960590990294227,7.997499942779541
1222,8009,8,7,Borghetto d'Arroscia,Imperia,Liguria,420,IM,0.7066551724384571,0.3762460019376204,0.5799999833106995
1223,8010,8,7,Borgomaro,Imperia,Liguria,826,IM,0.8251153838175994,0.6878952013022128,0.5274999737739563
1224,8011,8,7,Camporosso,Imperia,Liguria,5491,IM,5.592400027513504,5.6419329734851384,3.177500009536743
1225,8012,8,7,Caravonica,Imperia,Liguria,264,IM,1.705400012731552,1.3442603450467765,1.2799999713897705
1226,8014,8,7,Castellaro,Imperia,Liguria,1223,IM,3.1594317961822855,3.2655309026001733,0.9825000166893005
1227,8015,8,7,Castel Vittorio,Imperia,Liguria,269,IM,0.5133916081248463,0.5412897716433637,0.375
1228,8016,8,7,Ceriana,Imperia,Liguria,1128,IM,0.7548626343627552,0.7270281321391513,0.5349999666213989
1229,8017,8,7,Cervo,Imperia,Liguria,1142,IM,9.131749975681306,7.7310252399175985,4.329999923706055
1230,8018,8,7,Cesio,Imperia,Liguria,267,IM,0.5943749969204267,0.1484875982916607,0.5525000095367432
1231,8019,8,7,Chiusanico,Imperia,Liguria,572,IM,1.3266049318107558,1.083773925340708,0.824999988079071
1232,8020,8,7,Chiusavecchia,Imperia,Liguria,507,IM,2.5971428666796004,1.9414259473381517,2.1700000762939453
1233,8021,8,7,Cipressa,Imperia,Liguria,1201,IM,2.6411538066772313,2.2774674680237994,1.7975000143051147
1234,8022,8,7,Civezza,Imperia,Liguria,600,IM,2.404782613982325,1.0439291521680492,2.4149999618530273
1235,8023,8,7,Cosio d'Arroscia,Imperia,Liguria,187,IM,0.4279824602499343,0.3076133538610227,0.33500000834465027
1236,8024,8,7,Costarainera,Imperia,Liguria,762,IM,6.716333270072937,3.6388635222182897,5.654999732971191
1237,8025,8,7,Diano Arentino,Imperia,Liguria,672,IM,1.6939534863760306,1.461496764930875,1.1100000143051147
1238,8026,8,7,Diano Castello,Imperia,Liguria,2240,IM,6.677941192598904,6.529472269035442,2.617500066757202
1239,8027,8,7,Diano Marina,Imperia,Liguria,5779,IM,12.206486418440536,9.175256735292917,8.244999885559082
